"model","converged","n_risk_rows","expected_interaction","interaction_rule_pass","formula","scenario_id","replicate","seed"
"M10_M11_eye_denominator",TRUE,571981,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",761,20960761
"M10_M11_eye_numerator",TRUE,571981,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",761,20960761
"M10_M11_shared_denominator",TRUE,176295,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",761,20960761
"M10_M11_shared_numerator",TRUE,176295,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",761,20960761
"M9_denominator",TRUE,713940,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",762,20960762
"M9_numerator",TRUE,713940,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",762,20960762
"M10_M11_eye_denominator",TRUE,553518,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",762,20960762
"M10_M11_eye_numerator",TRUE,553518,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",762,20960762
"M10_M11_shared_denominator",TRUE,166440,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",762,20960762
"M10_M11_shared_numerator",TRUE,166440,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",762,20960762
"M9_denominator",TRUE,728175,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",763,20960763
"M9_numerator",TRUE,728175,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",763,20960763
"M10_M11_eye_denominator",TRUE,534937,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",763,20960763
"M10_M11_eye_numerator",TRUE,534937,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",763,20960763
"M10_M11_shared_denominator",TRUE,180675,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",763,20960763
"M10_M11_shared_numerator",TRUE,180675,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",763,20960763
"M9_denominator",TRUE,708465,"group:last_y",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum +      last_y + group:last_y","VS_B_N",764,20960764
"M9_numerator",TRUE,708465,"",TRUE,"observed_event ~ group + time + I(time^2) + design_stratum","VS_B_N",764,20960764
"M10_M11_eye_denominator",TRUE,565559,"group:last_y",TRUE,"eye_event ~ group + time + I(time^2) + last_y + group:last_y","VS_B_N",764,20960764
"M10_M11_eye_numerator",TRUE,565559,"",TRUE,"eye_event ~ group + time + I(time^2)","VS_B_N",764,20960764
"M10_M11_shared_denominator",TRUE,160965,"group:last_patient_mean",TRUE,"shared_event ~ group + time + I(time^2) + last_patient_mean +      group:last_patient_mean","VS_B_N",764,20960764
"M10_M11_shared_numerator",TRUE,160965,"",TRUE,"shared_event ~ group + time + I(time^2)","VS_B_N",764,20960764
